C04.1	COLING 2004: Proceedings of the 20th International Conference on Computational Linguistics	2004	Geneva, Switzerland
C08.1	Proceedings of the 22nd International Conference on Computational Linguistics (Coling 2008)	2008	Manchester, UK
C08.2	Coling 2008: Companion volume: Posters	2008	Manchester, UK
C08.3	Coling 2008: Companion volume: Demonstrations	2008	Manchester, UK
C08.4	Coling 2008: Educational Natural Language Processing - Tutorial notes	2008	Manchester, UK
C08.5	Coling 2008: Advanced Dynamic Programming in Computational Linguistics: Theory, Algorithms and Applications - Tutorial notes	2008	Manchester, UK
C10.1	Proceedings of the 23rd International Conference on Computational Linguistics (Coling 2010)	2010	Beijing, China
C10.2	Coling 2010: Posters	2010	Beijing, China
C10.3	Coling 2010: Demonstrations	2010	Beijing, China
C10.4	Coling 2010: Paraphrases and Applications–Tutorial notes	2010	Beijing, China
C10.5	Coling 2010: Kernel Engineering for Fast and Easy Design of Natural Language Applications–Tutorial notes	2010	Beijing, China
C12.1	Proceedings of COLING 2012	2012	Mumbai, India
C12.2	Proceedings of COLING 2012: Posters	2012	Mumbai, India
C12.3	Proceedings of COLING 2012: Demonstration Papers	2012	Mumbai, India
C14.1	Proceedings of COLING 2014, the 25th International Conference on Computational Linguistics: Technical Papers	2014	Dublin, Ireland
C14.2	Proceedings of COLING 2014, the 25th International Conference on Computational Linguistics: System Demonstrations	2014	Dublin, Ireland
C14.3	Proceedings of COLING 2014, the 25th International Conference on Computational Linguistics: Tutorial Abstracts	2014	Dublin, Ireland
C16.1	Proceedings of COLING 2016, the 26th International Conference on Computational Linguistics: Technical Papers	2016	Osaka, Japan
C16.2	Proceedings of COLING 2016, the 26th International Conference on Computational Linguistics: System Demonstrations	2016	Osaka, Japan
C16.3	Proceedings of COLING 2016, the 26th International Conference on Computational Linguistics: Tutorial Abstracts	2016	Osaka, Japan
C18.1	Proceedings of the 27th International Conference on Computational Linguistics	2018	Santa Fe, New Mexico, USA
C18.2	Proceedings of the 27th International Conference on Computational Linguistics: System Demonstrations	2018	Santa Fe, New Mexico
C18.3	Proceedings of the 27th International Conference on Computational Linguistics: Tutorial Abstracts	2018	Santa Fe, New Mexico, USA
C65.1	COLING 1965	1965	New York, NY, USA
